Order_ID,Customer_Name,Category,Sub_Category,City,Order_Date,Region,Sales,Discount,Profit,State,Profit_Margin,Sales_Category,Profit_Status
OD1,Harish,Oil & Masala,Masalas,Vellore,2017-11-08,North,1254,0.12,401.28,Tamil Nadu,31.999999999999996,Very High,Profitable
OD2,Sudha,Beverages,Health Drinks,Krishnagiri,2017-11-08,South,749,0.18,149.8,Tamil Nadu,20.0,High,Profitable
OD3,Hussain,Food Grains,Atta & Flour,Perambalur,2017-06-12,West,2360,0.21,165.2,Tamil Nadu,6.999999999999999,Very High,Profitable
OD4,Jackson,Fruits & Veggies,Fresh Vegetables,Dharmapuri,2016-10-11,South,896,0.25,89.6,Tamil Nadu,10.0,High,Profitable
OD5,Ridhesh,Food Grains,Organic Staples,Ooty,2016-10-11,South,2355,0.26,918.45,Tamil Nadu,39.0,Very High,Profitable
OD6,Adavan,Food Grains,Organic Staples,Dharmapuri,2015-06-09,West,2305,0.26,322.7,Tamil Nadu,13.999999999999998,Very High,Profitable
OD7,Jonas,Fruits & Veggies,Fresh Vegetables,Trichy,2015-06-09,West,826,0.33,346.92,Tamil Nadu,42.00000000000001,High,Profitable
OD8,Hafiz,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,2015-06-09,West,1847,0.32,147.76,Tamil Nadu,8.0,Very High,Profitable
OD9,Hafiz,Bakery,Biscuits,Tirunelveli,2015-06-09,West,791,0.23,181.93,Tamil Nadu,23.0,High,Profitable
OD10,Krithika,Bakery,Cakes,Chennai,2015-06-09,West,1795,0.27,484.65,Tamil Nadu,26.999999999999996,Very High,Profitable
OD11,Ganesh,Snacks,Chocolates,Karur,2015-06-09,West,1903,0.13,437.69,Tamil Nadu,23.0,Very High,Profitable
OD12,Yadav,"Eggs, Meat & Fish",Eggs,Namakkal,2015-06-09,West,701,0.1,308.44,Tamil Nadu,44.0,High,Profitable
OD13,Sharon,Snacks,Cookies,Dindigul,,South,1659,0.19,315.21,Tamil Nadu,18.999999999999996,Very High,Profitable
OD14,Peer,Fruits & Veggies,Fresh Vegetables,Kanyakumari,2017-12-05,West,1277,0.25,63.85,Tamil Nadu,5.0,Very High,Profitable
OD15,Sundar,"Eggs, Meat & Fish",Chicken,Kanyakumari,,Central,831,0.22,207.75,Tamil Nadu,25.0,High,Profitable
OD16,Ramesh,Oil & Masala,Edible Oil & Ghee,Krishnagiri,,Central,1440,0.11,100.8,Tamil Nadu,6.999999999999999,Very High,Profitable
OD17,Alan,Bakery,Cakes,Dharmapuri,2015-11-11,Central,1678,0.28,318.82,Tamil Nadu,19.0,Very High,Profitable
OD18,Arutra,Beverages,Health Drinks,Bodi,,West,1617,0.19,113.19,Tamil Nadu,6.999999999999999,Very High,Profitable
OD19,Haseena,"Eggs, Meat & Fish",Mutton,Tenkasi,,West,1757,0.35,386.54,Tamil Nadu,22.0,Very High,Profitable
OD20,Verma,Beverages,Soft Drinks,Kanyakumari,,West,692,0.29,159.16,Tamil Nadu,23.0,High,Profitable
OD21,Hafiz,Beverages,Health Drinks,Vellore,,West,522,0.19,208.8,Tamil Nadu,40.0,High,Profitable
OD22,Alan,Food Grains,Dals & Pulses,Karur,2017-12-09,Central,948,0.13,47.4,Tamil Nadu,5.0,High,Profitable
OD23,Haseena,Beverages,Soft Drinks,Krishnagiri,2017-12-09,Central,707,0.34,148.47,Tamil Nadu,21.0,High,Profitable
OD24,Alan,Fruits & Veggies,Organic Vegetables,Tenkasi,,East,969,0.29,77.52,Tamil Nadu,8.0,High,Profitable
OD25,Sharon,"Eggs, Meat & Fish",Eggs,Ooty,,West,1100,0.11,495.0,Tamil Nadu,45.0,Very High,Profitable
OD26,Krithika,Snacks,Chocolates,Tirunelveli,,West,2022,0.11,202.2,Tamil Nadu,10.0,Very High,Profitable
OD27,Muneer,Snacks,Cookies,Trichy,,West,541,0.12,43.28,Tamil Nadu,8.0,High,Profitable
OD28,Jackson,Bakery,Biscuits,Viluppuram,,East,979,0.22,401.39,Tamil Nadu,41.0,High,Profitable
OD29,Veronica,Beverages,Soft Drinks,Krishnagiri,,East,1988,0.22,874.72,Tamil Nadu,44.0,Very High,Profitable
OD30,Shah,Oil & Masala,Masalas,Kanyakumari,,East,989,0.17,69.23,Tamil Nadu,7.000000000000001,High,Profitable
OD31,Ramesh,Beverages,Soft Drinks,Dharmapuri,,East,1845,0.24,166.05,Tamil Nadu,9.000000000000002,Very High,Profitable
OD32,Mathew,Snacks,Noodles,Vellore,,East,1400,0.11,420.0,Tamil Nadu,30.0,Very High,Profitable
OD33,Akash,Oil & Masala,Edible Oil & Ghee,Trichy,,East,2163,0.26,670.53,Tamil Nadu,31.0,Very High,Profitable
OD34,Anu,Oil & Masala,Masalas,Madurai,,East,1689,0.34,337.8,Tamil Nadu,20.0,Very High,Profitable
OD35,Anu,Beverages,Health Drinks,Vellore,,Central,809,0.32,80.9,Tamil Nadu,10.0,High,Profitable
OD36,Sabeela,"Eggs, Meat & Fish",Eggs,Tirunelveli,2017-12-08,Central,1265,0.22,569.25,Tamil Nadu,45.0,Very High,Profitable
OD37,James,Beverages,Soft Drinks,Salem,2017-12-08,Central,934,0.35,56.04,Tamil Nadu,6.0,High,Profitable
OD38,Willams,Fruits & Veggies,Organic Vegetables,Ramanadhapuram,,Central,1354,0.16,446.82,Tamil Nadu,33.0,Very High,Profitable
OD39,Jonas,Fruits & Veggies,Fresh Fruits,Chennai,,Central,1751,0.19,280.16,Tamil Nadu,16.0,Very High,Profitable
OD40,Sabeela,"Eggs, Meat & Fish",Chicken,Cumbum,,Central,2045,0.23,879.35,Tamil Nadu,43.0,Very High,Profitable
OD41,Malik,Beverages,Health Drinks,Namakkal,,Central,660,0.19,92.4,Tamil Nadu,14.000000000000002,High,Profitable
OD42,Arutra,Beverages,Soft Drinks,Salem,2018-09-10,Central,1868,0.18,616.44,Tamil Nadu,33.0,Very High,Profitable
OD43,Sharon,Snacks,Cookies,Bodi,,West,1017,0.25,345.78,Tamil Nadu,34.0,Very High,Profitable
OD44,Mathew,Snacks,Cookies,Dharmapuri,,South,2311,0.2,1039.95,Tamil Nadu,45.0,Very High,Profitable
OD45,Amrish,Bakery,Biscuits,Krishnagiri,2017-03-11,Central,1663,0.17,731.72,Tamil Nadu,44.0,Very High,Profitable
OD46,Vince,"Eggs, Meat & Fish",Eggs,Madurai,2017-03-11,Central,1420,0.19,355.0,Tamil Nadu,25.0,Very High,Profitable
OD47,Suresh,Fruits & Veggies,Organic Vegetables,Nagercoil,,Central,1415,0.31,509.4,Tamil Nadu,36.0,Very High,Profitable
